date,km,litres,price_per_litre,total_cost,notes
1998-05-01,000000,27.520,0.545,15.00,
1998-05-22,000000,20.160,0.496,10.00,
1998-05-31,000000,19.340,0.517,10.00,
1998-06-09,000000,19.410,0.515,10.00,
1998-06-18,000000,18.900,0.529,10.00,
1998-06-29,000000,30.490,0.492,15.00,
1998-07-11,000000,18.770,0.533,10.00,
1998-07-30,000000,29.180,0.514,15.00,
1998-08-10,000000,29.830,0.454,13.54,
1998-08-20,000000,29.890,0.502,15.00,
1998-09-21,000000,29.670,0.497,14.75,
1998-10-08,000000,28.910,0.529,15.30,
1998-10-16,000000,21.550,0.464,10.00,
1998-10-21,000000,27.850,0.472,13.15,
1998-11-04,000000,26.930,0.529,14.25,
1998-11-28,000000,23.210,0.517,12.00,
1998-12-10,000000,20.060,0.499,10.01,
1998-12-26,000000,24.750,0.485,12.01,
1999-01-08,000000,30.380,0.477,14.50,
1999-01-24,000000,21.450,0.466,10.00,
1999-02-03,000000,24.550,0.489,12.01,
1999-03-06,000000,30.420,0.493,15.00,
1999-03-19,000000,27.840,0.539,15.01,
1999-04-03,000000,28.090,0.543,15.25,
1999-04-16,000000,26.810,0.522,14.00,
1999-05-29,000000,25.850,0.522,13.50,
1999-06-15,000000,26.960,0.519,14.00,
1999-07-02,000000,26.260,0.514,13.50,
1999-07-16,000000,24.390,0.543,13.25,
1999-07-19,000000,16.370,0.611,10.00,
1999-07-29,000000,16.580,0.603,10.00,
1999-08-07,000000,20.160,0.595,12.00,
1999-08-28,000000,25.044,0.599,15.00,
1999-09-14,000000,00.000,0.605,10.00,
1999-09-21,000000,30.510,0.597,18.22,
1999-10-04,000000,27.371,0.612,16.75,
1999-10-20,000000,29.187,0.609,17.77,
1999-11-03,000000,31.360,0.609,19.10,
1999-11-17,000000,31.180,0.637,19.86,
1999-12-04,000000,28.713,0.639,18.35,
1999-12-21,000000,28.795,0.625,18.00,
2000-01-07,000000,29.215,0.605,17.68,
2000-01-19,000000,27.628,0.637,17.60,
2000-01-30,000000,29.445,0.639,18.82,
2000-02-12,000000,27.371,0.645,17.65,
2000-02-26,000000,28.363,0.659,18.69,
2000-03-10,000000,27.561,0.726,20.01,
2000-03-25,000000,27.438,0.697,19.12,
2000-04-11,000000,27.166,0.622,16.90,
2000-04-24,000000,28.194,0.667,18.81,
2000-05-11,000000,30.480,0.671,20.45,
2000-05-30,000000,27.650,0.695,19.22,
2000-06-17,000000,24.356,0.733,17.85,
2000-07-02,000000,28.318,0.692,19.60,
2000-07-16,000000,26.190,0.672,17.60,
2000-08-02,000000,27.653,0.716,19.80,
2000-08-20,000000,26.904,0.697,18.75,
2000-09-08,000000,26.713,0.749,20.01,
2000-09-25,000000,24.477,0.742,18.16,
2000-10-06,000000,26.621,0.676,18.00,
2000-10-17,000000,00.000,0.721,19.25,
2000-10-31,000000,27.918,0.766,21.39,
2000-11-14,000000,29.604,0.749,22.17,
2000-11-27,000000,27.243,0.734,20.00,
2000-12-18,000000,24.731,0.689,17.04,
2001-01-03,000000,28.028,0.789,22.11,
2001-01-15,000000,28.130,0.849,23.88,
2001-01-23,000000,23.664,0.845,20.00,
2001-02-02,000000,21.063,0.729,15.35,
